38.664	2.5	1
41.236	2.5	1
43.808	2.5	1
46.368	2.5	1
48.927	2.5	1
51.485	2.5	1
54.057	2.5	1
56.617	2.5	1
59.176	2.5	1
61.734	2.5	1
110.007	2.5	1
112.566	2.5	1
115.125	2.5	1
117.685	2.5	1
120.243	2.5	1
122.802	2.5	1
125.361	2.5	1
127.92	2.5	1
130.479	2.5	1
133.038	2.5	1
224.493	2.5	1
227.079	2.5	1
229.651	2.5	1
232.223	2.5	1
234.795	2.5	1
237.381	2.5	1
239.953	2.5	1
242.539	2.5	1
245.111	2.5	1
247.697	2.5	1
252.775	2.5	1
255.36	2.5	1
257.932	2.5	1
260.505	2.5	1
263.077	2.5	1
265.649	2.5	1
268.221	2.5	1
270.807	2.5	1
273.379	2.5	1
275.952	2.5	1
